EnsembleGI	Chromosome	Gene_Start	Gene_End	Complement	Coding
ENSG00000004139.13	17	28364356	28404049	0	1
ENSG00000004142.11	17	28347177	28357522	1	1
ENSG00000004399.12	3	129555175	129606818	1	1
ENSG00000004455.16	1	33007940	33080996	1	1
ENSG00000004468.12	4	15778275	15853230	0	1
ENSG00000004478.7	12	2794953	2805423	0	1
ENSG00000004487.15	1	23019448	23083689	0	1
ENSG00000004534.14	3	49940007	50100045	0	1
ENSG00000004660.14	17	3860315	3894891	1	1
ENSG00000004700.15	12	21468911	21501669	1	1
ENSG00000004766.15	7	93232340	93361121	0	1
ENSG00000004776.11	19	35754568	35758079	1	1
ENSG00000004777.18	19	35774532	35788822	0	1
ENSG00000004779.9	16	23581002	23596356	1	1
ENSG00000004799.7	7	95583499	95596491	1	1
ENSG00000004809.13	6	110424687	110476641	1	1
ENSG00000004838.13	3	50341110	50346852	1	1
ENSG00000004846.16	7	20615207	20777038	0	1
ENSG00000004848.7	X	25003694	25016420	1	1
ENSG00000004864.13	7	96120220	96322147	1	1
ENSG00000004866.19	7	116953238	117230103	0	1
ENSG00000004897.11	17	47117703	47189422	1	1
ENSG00000004939.13	17	44248385	44268141	1	1
ENSG00000004948.13	7	93424487	93574730	1	1
ENSG00000004961.14	X	11111301	11123078	0	1
ENSG00000004975.11	17	7225341	7234545	1	1
ENSG00000005001.9	16	2852727	2858170	1	1
ENSG00000005007.12	19	18831938	18868236	0	1
ENSG00000005020.12	7	26667062	26995239	1	1
ENSG00000005022.5	X	119468400	119471319	0	1
ENSG00000005059.15	4	109560205	109688726	0	1
ENSG00000005073.5	7	27181510	27185223	1	1
ENSG00000005075.15	7	102473118	102478907	1	1
ENSG00000005100.12	17	5440912	5469060	1	1
ENSG00000005102.12	17	43640388	43661954	1	1
ENSG00000005108.15	7	11370357	11832198	1	1
ENSG00000005156.11	17	34980494	35009743	0	1
ENSG00000005175.9	12	47661249	47706061	1	1
ENSG00000005187.11	16	20610243	20797581	0	1
ENSG00000005189.19	16	20806429	20849668	0	1
ENSG00000005194.14	16	57428169	57447528	1	1
ENSG00000005206.16	19	2328615	2354806	0	1
ENSG00000005238.19	9	35104112	35116341	1	1
ENSG00000005243.9	17	48026167	48038030	1	1
ENSG00000005249.12	7	107044649	107161811	0	1
ENSG00000005302.17	X	11758159	11775753	0	1
ENSG00000005339.14	16	3725054	3880726	1	1
ENSG00000005379.15	17	58301228	58328760	1	1
ENSG00000005381.7	17	58269856	58280935	1	1
ENSG00000005421.8	7	95297676	95324707	1	1
ENSG00000005436.13	2	75652000	75710989	1	1
ENSG00000005448.16	2	74421678	74425755	0	1
ENSG00000005469.11	7	87345681	87399795	0	1
ENSG00000005471.15	7	87401697	87480435	1	1
ENSG00000005483.20	7	105014179	105114361	0	1
ENSG00000005486.16	7	75842602	75888926	0	1
ENSG00000005513.9	16	981808	986979	0	1
ENSG00000005700.14	6	82169983	82247754	1	1
ENSG00000005801.16	11	3339261	3379222	1	1
ENSG00000005810.17	13	77044655	77327050	1	1
ENSG00000005812.10	13	76992598	77027195	1	1
ENSG00000005844.17	16	30472658	30523185	0	1
ENSG00000005882.11	17	50094737	50112152	0	1
ENSG00000005884.17	17	50055968	50090481	0	1
ENSG00000005889.15	X	24149173	24216255	0	1
ENSG00000005893.15	X	120427827	120469365	1	1
ENSG00000005961.17	17	44372180	44389505	1	1
ENSG00000005981.12	7	95478444	95540232	0	1
ENSG00000006007.11	16	19501689	19522145	1	1
ENSG00000006015.17	19	18588685	18592336	0	1
ENSG00000006016.10	19	18572220	18607741	1	1
ENSG00000006025.11	17	47807372	47821834	1	1
ENSG00000006042.11	17	32927910	32945106	0	1
ENSG00000006047.12	17	7288252	7294615	1	1
ENSG00000006059.3	17	41346092	41350812	1	1
ENSG00000006062.13	17	45263121	45317040	1	1
ENSG00000006071.12	11	17392885	17476845	1	1
ENSG00000006116.3	16	24255553	24362801	0	1
ENSG00000006118.14	11	60924463	60937159	0	1
ENSG00000006125.16	17	35578046	35726409	0	1
ENSG00000006128.11	7	97731908	97740472	0	1
ENSG00000006194.9	16	3263800	3301401	0	1
ENSG00000006210.6	16	57372458	57385048	0	1
ENSG00000006282.20	17	50543058	50555852	0	1
ENSG00000006283.17	17	50561068	50627474	0	1
ENSG00000006327.13	16	3018445	3022383	0	1
ENSG00000006377.10	7	97005548	97011039	0	1
ENSG00000006432.15	14	70722526	70809534	1	1
ENSG00000006451.7	7	39623483	39708124	0	1
ENSG00000006453.13	7	98291651	98401068	1	1
ENSG00000006459.10	7	140084746	140177035	1	1
ENSG00000006468.13	7	13891228	13991425	1	1
ENSG00000006530.15	7	141551189	141655244	0	1
ENSG00000006534.15	11	68008578	68029282	0	1
ENSG00000006555.10	1	54779712	54801267	1	1
ENSG00000006576.16	7	77798792	77957503	0	1
ENSG00000006606.8	7	75769533	75789896	1	1
ENSG00000006607.13	2	241356243	241494841	0	1
ENSG00000006611.15	11	17493895	17544416	1	1
ENSG00000006625.17	7	30496621	30504844	1	1
ENSG00000006634.7	7	87876216	87909541	0	1
ENSG00000006638.11	19	3594506	3606840	1	1
ENSG00000006652.13	7	112422968	112481017	0	1
ENSG00000006659.12	19	39704306	39709444	0	1
ENSG00000006695.10	17	14069496	14208677	0	1
ENSG00000006704.10	7	74453790	74602604	0	1
ENSG00000006712.14	19	39385852	39391195	1	1
ENSG00000006715.15	7	38722963	38932394	1	1
ENSG00000006740.16	17	12789539	12991643	0	1
ENSG00000006744.18	17	12992391	13018187	1	1
ENSG00000006747.14	7	12570577	12660179	0	1
ENSG00000006756.15	X	2903970	2929351	1	1
ENSG00000006757.11	X	7898247	7927739	1	1
ENSG00000006788.12	17	10298084	10373130	1	1
ENSG00000006831.9	12	1688574	1788678	0	1
ENSG00000006837.11	5	134286350	134371047	1	1
ENSG00000007001.12	2	157876702	158136154	0	1
ENSG00000007038.10	16	2817180	2826304	0	1
ENSG00000007047.14	19	45079288	45305283	0	1
ENSG00000007062.11	4	15963076	16084378	1	1
ENSG00000007080.10	19	17933016	17943991	0	1
ENSG00000007129.17	19	41549518	41586844	0	1
ENSG00000007168.12	17	2593210	2685615	0	1
ENSG00000007171.16	17	27756766	27800499	1	1
ENSG00000007174.17	17	11598431	11969748	0	1
ENSG00000007202.14	17	28614440	28645454	1	1
ENSG00000007216.14	17	28473293	28497781	0	1
ENSG00000007237.18	17	9910609	10198551	1	1
ENSG00000007255.10	19	45162928	45178237	1	1
ENSG00000007264.14	19	3777970	3802129	1	1
ENSG00000007306.14	19	41673307	41706976	1	1
ENSG00000007312.12	17	63928740	63932354	1	1
ENSG00000007314.11	17	63938554	63972918	1	1
ENSG00000007341.18	1	112523518	112620825	1	1
ENSG00000007350.16	X	154295671	154330350	0	1
ENSG00000007372.20	11	31784792	31817961	1	1
ENSG00000007376.7	16	784974	788397	1	1
ENSG00000007384.15	16	58059	76355	1	1
ENSG00000007392.16	16	188969	229463	1	1
ENSG00000007402.11	3	50362799	50504244	1	1
ENSG00000007516.13	16	1333601	1349441	0	1
ENSG00000007520.3	16	1349240	1351911	1	1
ENSG00000007541.16	16	566995	584136	0	1
ENSG00000007545.15	16	1612325	1677908	0	1
ENSG00000007866.18	6	35473597	35497076	1	1
ENSG00000007908.15	1	169722641	169764705	1	1
ENSG00000007923.15	1	6634168	6701924	1	1
ENSG00000007933.12	1	171090877	171117819	0	1
ENSG00000007944.14	6	16129125	16148248	0	1
ENSG00000007952.17	X	100843324	100874345	1	1
ENSG00000007968.6	1	23506430	23531220	1	1
ENSG00000008018.8	6	170535117	170553341	1	1
ENSG00000008056.12	X	47571898	47619853	1	1
ENSG00000008083.13	6	15246296	15522040	0	1
ENSG00000008086.11	X	18425583	18653629	0	1
ENSG00000008118.9	1	209583717	209613938	0	1
ENSG00000008128.22	1	1702730	1724324	1	1
ENSG00000008130.15	1	1751232	1780457	1	1
ENSG00000008196.12	6	50818723	50847613	0	1
ENSG00000008197.4	6	50713828	50772988	0	1
ENSG00000008226.19	3	38039205	38124025	0	1
ENSG00000008256.15	7	6161776	6272644	1	1
ENSG00000008277.14	7	87934143	88202889	0	1
ENSG00000008282.8	7	106090503	106112576	1	1
ENSG00000008283.15	17	63432304	63446378	1	1
ENSG00000008294.20	17	50962174	51120865	1	1
ENSG00000008300.15	3	48636469	48662915	1	1
ENSG00000008311.14	7	122075647	122144280	1	1
ENSG00000008323.15	12	6310436	6328506	0	1
ENSG00000008324.10	3	42581840	42595114	0	1
ENSG00000008382.15	19	4343527	4360086	0	1
ENSG00000008394.12	12	16347142	16609259	0	1
ENSG00000008405.11	12	106991364	107093829	1	1
ENSG00000008438.4	19	46019153	46023065	1	1
ENSG00000008441.16	19	12995608	13098796	0	1
ENSG00000008513.14	8	133454848	133571940	1	1
ENSG00000008516.16	16	3046681	3060726	0	1
ENSG00000008517.16	16	3065297	3082192	0	1
ENSG00000008710.18	16	2088710	2135898	1	1
ENSG00000008735.13	22	50600685	50613981	0	1
ENSG00000008838.18	17	40019097	40061215	1	1
ENSG00000008853.16	8	22987417	23020199	0	1
ENSG00000008869.11	2	36968383	37084342	1	1
ENSG00000008952.16	3	169966635	169998373	0	1
ENSG00000008988.9	8	56067295	56074581	1	1
ENSG00000009307.15	1	114716913	114758676	1	1
ENSG00000009335.17	7	157138913	157269372	0	1
ENSG00000009413.15	6	111299028	111483715	1	1
ENSG00000009694.13	X	124375903	124963817	1	1
ENSG00000009709.11	1	18631006	18748866	0	1
ENSG00000009724.16	1	11026523	11047233	1	1
ENSG00000009765.14	6	150368892	150405969	0	1
ENSG00000009780.15	1	27725979	27763122	0	1
ENSG00000009790.14	1	209756032	209782320	0	1
ENSG00000009830.11	14	77274956	77320884	1	1
ENSG00000009844.15	6	142147162	142224689	0	1
ENSG00000009950.15	7	73593194	73624543	1	1
ENSG00000009954.10	7	73440398	73522278	1	1
ENSG00000010017.12	6	13621498	13711564	1	1
ENSG00000010030.13	6	36354091	36387800	1	1
ENSG00000010072.15	1	231337104	231355023	0	1
ENSG00000010165.19	1	171781664	171814023	0	1
ENSG00000010219.13	12	4562204	4615302	0	1
ENSG00000010244.17	17	32350109	32381886	0	1
ENSG00000010256.10	3	48599002	48610976	1	1
ENSG00000010270.13	7	38178222	38230671	0	1
ENSG00000010278.12	12	6199715	6238271	0	1
ENSG00000010282.14	3	42692663	42702827	1	1
ENSG00000010292.12	12	6493356	6531955	0	1
ENSG00000010295.19	12	6538375	6556083	1	1
ENSG00000010310.8	19	45668244	45683724	0	1
ENSG00000010318.20	3	52410657	52423641	0	1
ENSG00000010319.6	3	52433053	52445085	1	1
ENSG00000010322.15	3	52455118	52493071	0	1
ENSG00000010327.10	3	52495338	52524495	0	1
ENSG00000010361.13	19	49806869	49817376	1	1
ENSG00000010379.15	12	220621	262873	1	1
ENSG00000010404.17	X	149476990	149521096	1	1
ENSG00000010438.16	9	33750466	33799231	0	1
ENSG00000010539.11	16	3222325	3236221	1	1
ENSG00000010610.9	12	6786858	6820808	0	1
ENSG00000010626.14	12	6873569	6914243	0	1
ENSG00000010671.15	X	101349447	101390796	1	1
ENSG00000010704.18	6	26087281	26098343	0	1
ENSG00000010803.16	1	41027200	41242154	1	1
ENSG00000010810.17	6	111660332	111873452	1	1
ENSG00000010818.8	6	142751467	142945201	1	1
ENSG00000010932.15	1	171248471	171285978	0	1
ENSG00000011007.12	1	23743155	23762059	0	1
ENSG00000011009.10	1	23790970	23795539	0	1
ENSG00000011021.21	1	11806096	11843144	0	1
ENSG00000011028.13	17	62627401	62693597	0	1
ENSG00000011052.21	17	51153590	51171744	0	1
ENSG00000011083.8	5	150189957	150222788	0	1
ENSG00000011105.11	12	3077355	3286564	0	1
ENSG00000011114.14	14	93237550	93333092	1	1
ENSG00000011132.11	19	3750819	3761699	1	1
ENSG00000011143.16	17	58205437	58219605	1	1
ENSG00000011198.7	3	43690113	43734371	0	1
ENSG00000011201.11	X	8528874	8732186	1	1
ENSG00000011243.17	19	15380048	15419141	1	1
ENSG00000011258.15	17	51177425	51260163	1	1
ENSG00000011260.13	17	51260528	51297936	0	1
ENSG00000011275.18	7	5620047	5781739	1	1
ENSG00000011295.15	17	15999380	16045015	0	1
ENSG00000011304.18	19	797075	812327	0	1
ENSG00000011332.19	19	38211006	38229714	1	1
ENSG00000011347.9	11	61515313	61581148	1	1
ENSG00000011376.9	3	45388506	45549421	0	1
ENSG00000011405.13	11	17077730	17207983	1	1
ENSG00000011422.11	19	43646095	43670547	1	1
ENSG00000011426.10	7	36389806	36453791	0	1
ENSG00000011451.17	19	15419980	15449951	1	1
ENSG00000011454.16	9	122940833	123104866	0	1
ENSG00000011465.16	12	91140484	91183123	1	1
ENSG00000011478.11	19	45692483	45703989	0	1
ENSG00000011485.14	19	46346994	46392981	0	1
ENSG00000011523.13	2	65056366	65087004	0	1
ENSG00000011566.14	2	39249266	39437312	1	1
ENSG00000011590.13	19	35704527	35717038	0	1
ENSG00000011600.11	19	35904401	35908295	1	1
ENSG00000011638.10	16	21158377	21180616	0	1
ENSG00000011677.12	X	152166234	152451358	1	1
ENSG00000012048.20	17	43044295	43170245	1	1
ENSG00000012061.15	19	45407333	45478828	1	1
ENSG00000012124.15	19	35319261	35347355	0	1
ENSG00000012171.18	3	50267558	50277546	0	1
ENSG00000012174.11	X	21839636	21885424	0	1
ENSG00000012211.12	X	49175264	49186528	1	1
ENSG00000012223.12	3	46435645	46485234	1	1
ENSG00000012232.8	8	28600469	28755599	0	1
ENSG00000012504.13	12	100473708	100564413	0	1
ENSG00000012660.13	6	53267398	53349179	1	1
ENSG00000012779.10	10	45374176	45446119	0	1
ENSG00000012817.15	Y	16922386	16963460	1	1
ENSG00000012822.15	12	53708517	53727745	1	1
ENSG00000012963.14	14	93207056	93229215	0	1
ENSG00000012983.11	14	50418501	50561126	1	1
ENSG00000013016.15	2	31234337	31269447	0	1
ENSG00000013275.7	19	39971005	39981441	0	1
ENSG00000013288.8	4	6575175	6623362	0	1
ENSG00000013293.5	3	170459584	170586074	1	1
ENSG00000013297.10	3	170418865	170860380	0	1
ENSG00000013306.15	17	44319625	44324870	1	1
ENSG00000013364.18	16	29820394	29848039	0	1
ENSG00000013374.15	7	151341699	151378449	0	1
ENSG00000013375.15	6	83161150	83193936	1	1
ENSG00000013392.7	6	83193379	83198932	0	1
ENSG00000013441.15	2	200853009	200864744	1	1
ENSG00000013503.9	12	106357658	106510198	0	1
ENSG00000013523.9	14	76786178	76826246	1	1
ENSG00000013561.17	5	141958328	141990291	0	1
ENSG00000013563.13	X	154401238	154412112	1	1
ENSG00000013573.16	12	31073845	31104791	0	1
ENSG00000013583.8	12	12974864	13000273	1	1
ENSG00000013588.6	12	12890782	12917937	0	1
ENSG00000013619.13	X	150361422	150514178	0	1
ENSG00000013725.14	11	60971680	61020377	0	1
ENSG00000013810.18	4	1721490	1745176	0	1
ENSG00000014123.9	6	96521595	96555276	0	1
ENSG00000014138.8	11	65261762	65305589	0	1
ENSG00000014164.6	8	143437655	143541453	1	1
ENSG00000014216.15	11	65180566	65212006	0	1
ENSG00000014257.15	3	132317367	132368298	0	1
ENSG00000014641.17	2	63588609	63607197	0	1
ENSG00000014824.13	4	41990472	42090457	0	1
ENSG00000014914.19	1	149928651	149936898	1	1
ENSG00000014919.12	10	99711844	99732100	1	1
ENSG00000015133.18	14	91271323	91417844	1	1
ENSG00000015153.14	12	42157104	42238349	1	1
ENSG00000015171.18	10	134465	254637	0	1
ENSG00000015285.10	X	48676596	48691427	0	1
ENSG00000015413.9	16	89613308	89638456	0	1
ENSG00000015475.18	22	17734138	17774770	1	1
ENSG00000015479.17	5	139293648	139331359	0	1
ENSG00000015520.14	7	44512535	44541315	1	1
ENSG00000015532.9	17	50346092	50363138	0	1
ENSG00000015568.12	2	109792758	109857695	0	1
ENSG00000015592.16	8	27235323	27258420	1	1
ENSG00000015676.17	7	44379121	44490880	1	1
ENSG00000016082.14	5	51383391	51394738	0	1
ENSG00000016391.10	3	53812335	53846390	1	1
ENSG00000016402.13	6	136999971	137045180	1	1
ENSG00000016490.15	1	86468368	86500289	0	1
ENSG00000016602.9	1	86547078	86580754	0	1
ENSG00000016864.17	3	52694485	52706083	1	1
ENSG00000017260.19	3	130850595	131016712	0	1
ENSG00000017427.15	12	102395867	102480645	1	1
ENSG00000017483.14	X	48458537	48470256	1	1
ENSG00000017797.11	18	9475009	9538116	0	1
ENSG00000018189.12	4	70704204	70807315	0	1
ENSG00000018236.14	12	40692442	41072418	0	1
ENSG00000018280.16	2	218382029	218396894	0	1
ENSG00000018408.14	3	149517235	149736714	1	1
ENSG00000018510.13	2	177392644	177559299	0	1
ENSG00000018607.6	2	132309309	132318736	0	0
ENSG00000018610.13	X	119538149	119565408	1	1
ENSG00000018625.14	1	160115759	160143591	0	1
ENSG00000018699.11	2	32628032	32821051	0	1
ENSG00000018869.16	19	56375846	56393545	1	1
ENSG00000019102.11	11	124747472	124752238	1	1
ENSG00000019144.17	11	118606440	118658038	0	1
ENSG00000019169.10	2	118942166	118994660	0	1
ENSG00000019186.9	20	54153449	54173973	1	1
ENSG00000019485.12	11	45095806	45235124	0	1
ENSG00000019505.7	11	45240301	45286319	1	1
ENSG00000019549.8	8	48917690	48921740	1	1
ENSG00000019582.14	5	150401637	150412929	1	1
ENSG00000019991.15	7	81699006	81770438	1	1
ENSG00000019995.6	10	124942123	124988189	0	1
ENSG00000020129.15	1	35557473	35567274	0	1
ENSG00000020181.17	8	37784191	37844896	0	1
ENSG00000020219.9	7	152445477	152447150	0	0
ENSG00000020256.19	20	52051663	52204308	1	1
ENSG00000020426.10	14	60734742	60969953	0	1
ENSG00000020577.13	14	54567097	54793315	0	1
ENSG00000020633.18	1	24899511	24965121	1	1
ENSG00000020922.12	11	94415578	94493908	1	1
ENSG00000021300.13	11	73646178	73662819	0	1
ENSG00000021355.12	6	2832332	2842006	1	1
ENSG00000021461.16	7	99828013	99866102	0	1
ENSG00000021488.12	19	32830509	32869766	1	1
ENSG00000021574.11	2	32063611	32157637	0	1
ENSG00000021645.18	14	78170373	79868290	0	1
ENSG00000021762.19	11	3087116	3166739	1	1
ENSG00000021776.10	15	34851782	34969839	1	1
ENSG00000021826.14	2	210477682	210679107	0	1
ENSG00000021852.12	1	56929210	56966140	1	1
ENSG00000022267.16	X	136146702	136211359	0	1
ENSG00000022277.12	20	56468585	56519449	0	1
ENSG00000022355.16	5	161847063	161899981	0	1
ENSG00000022556.15	19	54953130	55001142	0	1
ENSG00000022567.9	8	141207166	141308305	1	1
ENSG00000022840.15	12	120533480	120577594	0	1
ENSG00000022976.15	14	102317377	102342702	0	1
ENSG00000023041.11	10	112424428	112446917	1	1
ENSG00000023171.15	11	123358428	123627774	0	1
ENSG00000023191.16	11	494512	507300	1	1
ENSG00000023228.13	2	206114817	206159603	1	1
ENSG00000023287.12	8	52622456	52745843	1	1
ENSG00000023318.7	9	99979179	100099040	1	1
ENSG00000023330.14	3	52198086	52214327	0	1
ENSG00000023445.13	11	102317450	102339403	0	1
ENSG00000023516.8	13	42272153	42323267	0	1
ENSG00000023572.8	1	193096468	193106114	1	1
ENSG00000023608.4	14	61762357	61796428	0	1
ENSG00000023697.12	12	15911172	16037282	0	1
ENSG00000023734.10	12	15882391	15903478	0	1
ENSG00000023839.10	10	99782732	99852192	0	1
ENSG00000023892.10	6	35297852	35321771	0	1
ENSG00000023902.13	1	150149183	150164720	0	1
ENSG00000023909.9	1	93885205	93909456	1	1
ENSG00000024048.10	6	42564062	42693504	0	1
ENSG00000024422.11	19	47713343	47743134	0	1
ENSG00000024526.16	1	68474152	68497221	1	1
ENSG00000024862.17	6	138773509	138793319	0	1
ENSG00000025039.14	6	89364636	89412270	1	1
ENSG00000025156.12	6	122399546	122433119	0	1
ENSG00000025293.16	20	35771974	35950381	0	1
ENSG00000025423.11	12	56752161	56787790	0	1
ENSG00000025434.18	11	47248300	47269032	0	1
ENSG00000025708.13	22	50525752	50530056	1	1
ENSG00000025770.18	22	50508216	50523472	0	1
ENSG00000025772.7	20	44942130	44960486	1	1
ENSG00000025796.13	6	107867756	107958189	1	1
ENSG00000025800.13	1	32108038	32176568	0	1
ENSG00000026025.14	10	17228259	17237593	0	1
ENSG00000026036.21	20	63659300	63698684	0	1
ENSG00000026103.20	10	88990582	89015785	0	1
ENSG00000026297.15	6	166929504	166957191	1	1
ENSG00000026508.16	11	35138870	35232402	0	1
ENSG00000026559.13	20	51003656	51023129	1	1
ENSG00000026652.13	6	161129979	161274061	1	1
ENSG00000026751.16	1	160739057	160754821	0	1
ENSG00000026950.16	6	26402237	26415216	0	1
ENSG00000027001.9	13	23730189	23889419	1	1
ENSG00000027075.13	14	61187559	61550976	0	1
ENSG00000027644.4	1	156840063	156859018	1	1
ENSG00000027697.13	6	137197484	137219449	1	1
ENSG00000027847.13	5	177600100	177610347	0	1
ENSG00000027869.11	1	156806243	156816862	1	1
ENSG00000028116.16	2	57907651	58159920	0	1
ENSG00000028137.17	1	12166943	12209228	0	1
ENSG00000028203.17	12	95217746	95302790	0	1
ENSG00000028277.21	19	42086110	42196585	1	1
ENSG00000028310.17	5	850291	892824	1	1
ENSG00000028528.14	15	64094123	64146090	0	1
ENSG00000028839.9	6	133952170	133990432	0	1
ENSG00000029153.14	12	27332854	27425289	0	1
ENSG00000029363.15	6	136256863	136289851	1	1
ENSG00000029364.11	14	69398015	69462388	0	1
ENSG00000029534.19	8	41653220	41896762	1	1
ENSG00000029559.6	4	87799581	87812435	0	1
ENSG00000029639.10	6	155257509	155314493	1	1
ENSG00000029725.16	17	5282265	5385812	0	1
ENSG00000029993.14	X	150980509	150990775	0	1
ENSG00000030066.13	11	47778087	47848555	1	1
ENSG00000030110.12	6	33572547	33580293	1	1
ENSG00000030304.13	9	110668771	110801620	0	1
ENSG00000030419.16	2	212999691	213152427	1	1
ENSG00000030582.16	17	44345086	44353102	0	1
ENSG00000031003.10	5	137937960	138051961	1	1
ENSG00000031081.10	3	119294373	119420714	0	1
ENSG00000031691.6	6	49463378	49493107	0	1
ENSG00000031698.12	1	109213918	109238169	0	1
ENSG00000031823.14	19	5916139	5978142	1	1
ENSG00000032219.18	14	58298385	58373887	0	1
ENSG00000032389.12	2	3188925	3377882	1	1
ENSG00000032444.15	19	7534004	7561764	0	1
ENSG00000032742.17	13	20567069	20691437	0	1
ENSG00000033011.11	16	5033960	5087379	0	1
ENSG00000033030.13	12	122471600	122501073	1	1
ENSG00000033050.7	7	151207837	151227230	1	1
ENSG00000033100.15	7	151232489	151238827	0	1
ENSG00000033122.18	1	69568398	70151945	0	1
ENSG00000033170.16	14	65410592	65744121	0	1
ENSG00000033178.12	4	67612652	67701179	1	1
ENSG00000033327.12	11	78215297	78418348	1	1
ENSG00000033627.15	17	42458844	42522611	0	1
ENSG00000033800.13	15	68054179	68198603	0	1
ENSG00000033867.16	3	27372721	27484420	1	1
ENSG00000034053.14	15	28884483	29118315	0	1
ENSG00000034152.18	17	21284672	21315240	0	1
ENSG00000034239.10	8	48710789	48735311	1	1
ENSG00000034510.5	2	84905625	84906675	0	1
ENSG00000034533.11	3	131013875	131027649	1	1
ENSG00000034677.12	8	100257060	100336218	1	1
ENSG00000034693.14	6	143450807	143490010	0	1
ENSG00000034713.7	16	75566351	75577881	0	1
ENSG00000034971.15	1	171635417	171652683	1	1
ENSG00000035115.21	2	217730	266398	1	1
ENSG00000035141.7	2	70295975	70302090	1	1
ENSG00000035403.16	10	73995193	74121363	0	1
ENSG00000035499.12	5	60596912	60700190	1	1
ENSG00000035664.11	15	63907036	64072033	1	1
ENSG00000035681.7	8	58583504	58659844	1	1
ENSG00000035687.9	1	244408494	244452134	1	1
ENSG00000035720.7	4	67558728	67607337	0	1
ENSG00000035862.12	17	78852977	78925387	1	1
ENSG00000035928.14	4	39287456	39366375	1	1
ENSG00000036054.12	3	100261000	100325251	0	1
ENSG00000036257.12	2	224470150	224585397	1	1
ENSG00000036448.9	8	2045040	2165552	0	1
ENSG00000036473.6	X	38352545	38421450	0	1
ENSG00000036530.8	14	99684304	99727301	0	1
ENSG00000036549.12	1	77562416	77683419	1	1
ENSG00000036565.14	8	20144855	20183206	1	1
ENSG00000036672.15	11	119355215	119381726	1	1
ENSG00000036828.14	3	122184334	122286497	0	1
ENSG00000037042.8	17	42659305	42667006	0	1
ENSG00000037241.7	5	172958729	172969771	0	1
ENSG00000037280.15	5	180601506	180649624	1	1
ENSG00000037474.14	5	6599239	6633291	1	1
ENSG00000037637.10	1	16246839	16352454	1	1
ENSG00000037749.11	5	154038906	154220478	0	1
ENSG00000037757.13	19	13764532	13774282	0	1
ENSG00000037897.16	12	57768471	57772793	1	1
ENSG00000037965.5	12	54009106	54012362	0	1
ENSG00000038002.8	4	177430770	177442503	1	1
ENSG00000038210.12	4	25233975	25279092	0	1
ENSG00000038219.12	4	13568738	13627723	1	1
ENSG00000038274.16	5	163503114	163519336	0	1
ENSG00000038295.7	4	165873258	166103895	0	1
ENSG00000038358.14	16	67873023	67884503	0	1
ENSG00000038382.17	5	14143702	14532128	0	1
ENSG00000038427.15	5	83471465	83582303	0	1
ENSG00000038532.14	16	10944488	11182189	0	1
ENSG00000038945.14	8	16107878	16567490	1	1
ENSG00000039068.18	16	68737225	68835548	0	1
ENSG00000039123.15	5	55307760	55425581	0	1
ENSG00000039139.9	5	13690331	13944543	1	1
ENSG00000039319.16	5	80408013	80479350	0	1
